NO,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,BZ,DE,必須 スキル,変更内容,column_12,SubNo_2023,スキルレベル_2023,チェック項目_2023,AI活用 （削除予定）,AI活用 タイプ （削除予定）,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,version,sheet,source_url
1,1,基礎技術,数学的理解,線形代数基礎,★,ベクトルの内積に関する計算方法を理解し、線形式をベクトルの内積で表現できる,,,◯,,,1,★,ベクトルの内積に関する計算方法を理解し、線形式をベクトルの内積で表現できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
2,2,基礎技術,数学的理解,線形代数基礎,★,行列同士、および行列とベクトルの計算方法を正しく理解し、複数の線形式を行列の積で表現できる,,,◯,,,2,★,行列同士、および行列とベクトルの計算方法を正しく理解し、複数の線形式を行列の積で表現できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
3,3,基礎技術,数学的理解,線形代数基礎,★,逆行列の定義、および逆行列を求めることにより行列表記された連立方程式が解けることを理解している,,,,,,3,★,逆行列の定義、および逆行列を求めることにより行列表記された連立方程式が解けることを理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
4,4,基礎技術,数学的理解,線形代数基礎,★,固有ベクトルおよび固有値の意味を理解している,,,,,,4,★,固有ベクトルおよび固有値の意味を理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,5,基礎技術,数学的理解,線形代数基礎,★,テンソルの基本概念（次元数、軸、形状）と深層学習で用いる代表的な操作（転置、リシェイプ、インデックシング、ブロードキャストなど）を理解している,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
5,6,基礎技術,数学的理解,微分・積分基礎,★,微分により計算する導関数が傾きを求めるための式であることを理解し、多変数関数においての微分（偏微分、勾配など）も必要に応じて求めることができる,,,◯,2023年の6と統合,,5,★,微分により計算する導関数が傾きを求めるための式であることを理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
7,7,基礎技術,数学的理解,微分・積分基礎,★,積分と面積の関係を理解し、確率密度関数を定積分することで確率が得られることを説明できる,,,◯,,,7,★,積分と面積の関係を理解し、確率密度関数を定積分することで確率が得られることを説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,8,基礎技術,数学的理解,微分・積分基礎,★,関数の停留点が必ずしも極値にならないことを理解し、局所最適解と大域最適解の違いを説明できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
8,9,基礎技術,数学的理解,集合論基礎,★,和集合、積集合、差集合、対称差集合、補集合についてベン図を用いて説明できる,,,◯,,,8,★,和集合、積集合、差集合、対称差集合、補集合についてベン図を用いて説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
9,10,基礎技術,数学的理解,集合論基礎,★,論理演算と集合演算の対応を理解している（ANDが積集合に対応するなど）,,,,,,9,★,論理演算と集合演算の対応を理解している（ANDが積集合に対応するなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
10,1,基礎技術,科学的解析の基礎,統計数理基礎,★,"順列や組合せの式 nPr, nCr を理解し、適切に使い分けることができる",,,◯,,,1,★,"順列や組合せの式 nPr, nCr を理解し、適切に使い分けることができる",,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
11,2,基礎技術,科学的解析の基礎,統計数理基礎,★,確率に関する基本的な概念の意味を説明できる（確率、条件付き確率、期待値、独立など）,,,◯,,,2,★,確率に関する基本的な概念の意味を説明できる（確率、条件付き確率、期待値、独立など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
12,3,基礎技術,科学的解析の基礎,統計数理基礎,★,平均、中央値、最頻値の算出方法の違いを説明できる,,,◯,,,3,★,平均、中央値、最頻値の算出方法の違いを説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
13,4,基礎技術,科学的解析の基礎,統計数理基礎,★,分散、標準偏差、四分位、パーセンタイルを理解し、目的に応じて適切に使い分けることができる,,,◯,修正,,4,★,与えられたデータにおける分散、標準偏差、四分位、パーセンタイルを理解し、目的に応じて適切に使い分けることができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
